Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio
Cera Sanitaryware Ltd,CERA,Building Products - Ceramics,4986.907297,3834.35,44.03839012
TV18 Broadcast Ltd,TV18BRDCST,TV Channels & Broadcasters,4963.072663,28.95,20.47641168
Solara Active Pharma Sciences Ltd,SOLARA,Pharmaceuticals,4947.468148,1377.75,31.63351386
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC,Fertilizers & Agro Chemicals,4943.871487,318.1,9.731838915
Cochin Shipyard Ltd,COCHINSHIP,Shipbuilding,4939.341645,375.5,7.815413994
Sobha Ltd,SOBHA,Real Estate,4927.716293,519.55,17.49464371
Balrampur Chini Mills Ltd,BALRAMCHIN,Sugar,4920.3,234.3,10.30533494
Nazara Technologies Ltd,NAZARA,Theme Parks & Gaming,4912.956032,1613.3,-2110.555283
Lux Industries Ltd,LUXIND,Apparel & Accessories,4896.430435,1938.95,43.76759898
Gujarat Pipavav Port Ltd,GPPL,Ports,4892.411889,101.2,15.3160689
KEI Industries Ltd,KEI,Cables,4883.643055,543.5,17.8582984
NCC Ltd,NCC,Construction & Engineering,4857.428073,79.65,14.32499056
V I P Industries Ltd,VIPIND,Apparel & Accessories,4818.920442,341,43.1300496
IFB Industries Ltd,IFBIND,Auto Parts,4801.477326,1185,188.3583483
Karur Vysya Bank Ltd,KARURVYSYA,Private Banks,4755.958278,59.5,20.23455244
Godfrey Phillips India Ltd,GODFRYPHLP,FMCG - Tobacco,4711.429061,906.15,12.24192969
Supreme Petrochem Ltd,SUPPETRO,Specialty Chemicals,4689.280966,498.75,46.85811745
Nippon India Gold Bees ETF,GOLDBEES,Gold,4670.118195,40.45,
Responsive Industries Ltd,RESPONIND,Building Products - Granite,4612.251456,172.8,187.7450328
CSB Bank Ltd,CSBBANK,Private Banks,4524.686884,268.55,268.766649
KRBL Ltd,KRBL,Packaged Foods & Meats,4514.778129,191.8,8.088391072
Great Eastern Shipping Company Ltd,GESHIP,Oil & Gas - Storage & Transportation,4505.992399,306.6,22.03575267
Delta Corp Ltd,DELTACORP,Theme Parks & Gaming,4469.250695,167.5,24.4476357
MAS Financial Services Ltd,MASFIN,Diversified Financials,4436.64472,811.65,24.65213491
Sun Pharma Advanced Research Co Ltd,SPARC,Pharmaceuticals,4391.916201,167.6,-14.05820742
JSW Holdings Ltd,JSWHL,Asset Management,4386.860211,3963.45,41.21826751
Rashtriya Chemicals and Fertilizers Ltd,RCF,Fertilizers & Agro Chemicals,4366.611312,79.15,21.08150105
Hindustan Foods Ltd,HNDFDS,FMCG - Foods,4339.458547,2047.1,161.9150618
Suzlon Energy Ltd,SUZLON,Renewable Energy Equipment & Services,4339.086514,5.1,-1.026816288
Home First Finance Company India Ltd,HOMEFIRST,Home Financing,4301.377564,492.15,28.1387344
Engineers India Ltd,ENGINERSIN,Construction & Engineering,4271.522035,76,11.3310366
Spicejet Ltd,SPICEJET,Airlines,4269.656696,71.05,-4.550936408
Mazagon Dock Shipbuilders Ltd,MAZDOCK,Shipbuilding,4263.7266,211.4,9.434034084
Hathway Cable and Datacom Ltd,HATHWAY,Cable & D2H,4257.101323,24.05,41.04021327
Ircon International Ltd,IRCON,Construction & Engineering,4234.672119,90.05,8.725705465
