,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,Name,Sub-Sector,Market Cap,Close Price,PE Ratio,time_stamp
0,3014145,11774,3IINFOTECH,3I INFOTECH.,0.0,,0.0,0.05,1,EQ,NSE,NSE,3i Infotech Ltd,IT Services & Consulting,1301.407167,8.05,19.24867831,28643668319
1,121345,474,3MINDIA,3M INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,3M India Ltd,Stationery,28789.519819999998,25556.45,89.35849469,28643668319
2,1147137,4481,AARTIDRUGS,AARTI DRUGS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Aarti Drugs Ltd,Pharmaceuticals,6836.22,696.05,46.1529769,28643668319
3,1793,7,AARTIIND,AARTI INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,Aarti Industries Ltd,Specialty Chemicals,23479.83772,1347.6,44.64683447,28643668319
4,4923649,19233,AARTISURF,AARTI SURFACTANTS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Aarti Surfactants Ltd,Specialty Chemicals,1163.800073,1534.45,281.6039239,28643668319
5,1378561,5385,AAVAS,AAVAS FINANCIERS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Aavas Financiers Ltd,Home Financing,18269.57911,2171.55,68.19851173,28643668319
6,3329,13,ABB,ABB INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,ABB India Ltd,Heavy Electrical Equipments,27748.342160000004,1309.45,126.57760320000001,28643668319
7,4583169,17903,ABBOTINDIA,ABBOTT INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,Abbott India Ltd,Pharmaceuticals,31979.56203,15049.7,53.934801799999995,28643668319
8,5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Aditya Birla Capital Ltd,Diversified Financials,27413.40505,113.5,28.47535473,28643668319
9,7707649,30108,ABFRL,ADITYA BIRLA FASHION & RT,0.0,,0.0,0.05,1,EQ,NSE,NSE,Aditya Birla Fashion and Retail Ltd,Retail - Apparel,17396.29434,172.9,-83.27246262,28643668319
10,5633,22,ACC,ACC,0.0,,0.0,0.05,1,EQ,NSE,NSE,ACC Ltd,Cement,35411.044180000004,1885.7,24.83722084,28643668319
11,1805569,7053,ACCELYA,ACCELYA SOLN INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,Accelya Solutions India Ltd,Software Services,1348.886207,903.7,15.53900335,28643668319
12,3478273,13587,ACE,ACTION CONST EQUIP,0.0,,0.0,0.05,1,EQ,NSE,NSE,Action Construction Equipment Ltd,Heavy Machinery,1871.337902,164.9,36.24756354,28643668319
13,6401,25,ADANIENT,ADANI ENTERPRISES,0.0,,0.0,0.05,1,EQ,NSE,NSE,Adani Enterprises Ltd,Commodities Trading,118163.5953,1074.4,103.8189333,28643668319
14,912129,3563,ADANIGREEN,ADANI GREEN ENERGY,0.0,,0.0,0.05,1,EQ,NSE,NSE,Adani Green Energy Ltd,Renewable Energy,169797.2103,1085.65,-7309.39347,28643668319
